season,team,conference,wins,losses,win_pct,adj_margin,strength_of_schedule,points_per_game,points_allowed_per_game,ft_pct,three_pt_pct,three_pa_rate,ft_rate,off_rebound_pct,def_rebound_pct,turnover_pct,adj_offense,adj_defense,coach,coach_years_at_school,coach_ncaa_games,coach_sweet16s,coach_finalfours,road_wins,road_losses,neutral_wins,neutral_losses,net_rank,quad1_wins,quad2_wins,tempo,opp_turnover_pct,opp_three_pt_pct,close_game_record,last10_win_pct,last10_adj_margin,avg_age,underclass_minutes_pct,freshman_minutes_pct,freshman_guard_minutes_pct,sophomore_minutes_pct,junior_minutes_pct,senior_minutes_pct,returning_starters,returning_minutes_pct,primary_guard_experience_score,backcourt_experience_score,frontcourt_experience_score,bench_minutes_pct,bench_points_pct,injury_flag,star_player_flag,chicago_guard_count,nyc_guard_count,indiana_guard_count,texas_big_count,southern_big_count,west_coast_wing_count,local_site_player_count,host_state_player_count,wab,barthag,eff_fg_pct,opp_eff_fg_pct
2017,Abilene Christian,7,13,1,0.448,-9.6,-7.1,69.3,71.5,66.3,37.1,35.8,34.7,23.0,31.7,21.0,97.1,106.7,,,,,,,,,,,,,67.1,21.4,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.3,0.252,52.5,52.8
2017,Air Force,4,12,2,0.364,-3.6,1.0,73.1,75.1,71.7,36.2,38.7,37.4,26.5,24.6,17.9,104.1,107.7,,,,,,,,,,,,,68.4,17.5,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.9,0.4038,49.8,54.6
2017,Akron,14,27,3,0.75,6.2,-1.21,77.0,70.8,68.30000000000001,36.8,48.5,37.3,29.4,27.9,17.2,111.6,105.4,,,,,,,,,,,,,67.4,16.7,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7,0.6582,55.1,51.0
2017,Alabama,10,19,4,0.559,11.8,7.47,68.5,64.7,65.3,31.7,37.2,39.1,34.1,26.6,20.4,104.0,92.2,,,,,,,,,,,,,66.6,19.8,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9,0.8002,48.2,46.1
2017,Alabama A&M,2,2,5,0.069,-33.1,-11.09,61.9,77.8,66.9,27.5,29.1,39.5,29.3,36.2,19.8,90.2,123.3,,,,,,,,,,,,,65.8,14.0,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23.8,0.0267,44.3,53.7
2017,Alabama State,6,8,6,0.258,-22.8,-10.75,65.9,74.4,63.7,29.4,36.5,34.6,34.5,31.8,22.0,89.7,112.5,,,,,,,,,,,,,70.0,18.0,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.1,0.0686,44.3,50.3
2017,Albany,10,21,7,0.6,3.1,-4.69,71.3,65.7,75.7,37.1,27.1,33.4,33.0,23.6,18.3,107.2,104.1,,,,,,,,,,,,,65.6,17.5,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.7,0.5832,51.7,51.2
2017,Alcorn State,13,18,8,0.563,-12.7,-10.95,69.4,68.0,65.2,32.0,35.5,32.8,31.9,31.2,20.4,93.9,106.6,,,,,,,,,,,,,69.0,18.6,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.5,0.1882,47.9,47.3
2017,American,5,8,9,0.267,-12.1,-3.5,61.5,68.3,61.8,32.5,34.7,31.3,20.9,28.1,19.6,95.5,107.6,,,,,,,,,,,,,66.1,20.0,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.3,0.2029,50.9,52.5
2017,Appalachian State,4,9,10,0.3,-8.0,-1.6,73.6,76.0,68.10000000000001,32.7,41.4,37.1,28.9,27.2,19.4,99.8,107.8,,,,,,,,,,,,,71.7,16.9,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.6,0.2916,47.4,52.8
2017,Arizona,16,32,11,0.865,22.1,7.63,76.6,65.9,76.5,39.0,30.5,40.5,33.2,26.0,16.6,117.1,95.0,,,,,,,,,,,,,67.1,17.4,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,0.9174,53.7,47.7
2017,Arizona State,7,15,12,0.455,3.4,7.11,78.6,81.7,74.9,36.6,43.8,31.9,24.4,32.2,14.3,111.0,107.6,,,,,,,,,,,,,71.7,18.3,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.3,0.5886,51.4,55.4
2017,Arkansas,12,26,13,0.722,14.3,8.6,79.3,73.9,76.1,36.5,29.5,38.1,31.9,34.2,16.6,114.8,100.5,,,,,,,,,,,,,71.0,18.5,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,0.8226,51.4,47.8
2017,Arkansas State,11,20,14,0.625,3.2,-2.1,73.3,69.1,63.8,37.7,32.4,41.5,31.0,27.5,18.6,105.2,102.0,,,,,,,,,,,,,68.7,18.8,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.6,0.5888,51.9,49.2
