season,team,conference,wins,win_pct,losses,adj_margin,strength_of_schedule,points_per_game,points_allowed_per_game,ft_pct,three_pt_pct,three_pa_rate,ft_rate,off_rebound_pct,def_rebound_pct,turnover_pct,adj_offense,adj_defense,coach,coach_years_at_school,coach_ncaa_games,coach_sweet16s,coach_finalfours,road_wins,road_losses,neutral_wins,neutral_losses,net_rank,quad1_wins,quad2_wins,tempo,opp_turnover_pct,opp_three_pt_pct,close_game_record,last10_win_pct,last10_adj_margin,avg_age,underclass_minutes_pct,freshman_minutes_pct,freshman_guard_minutes_pct,sophomore_minutes_pct,junior_minutes_pct,senior_minutes_pct,returning_starters,returning_minutes_pct,primary_guard_experience_score,backcourt_experience_score,frontcourt_experience_score,bench_minutes_pct,bench_points_pct,injury_flag,star_player_flag,chicago_guard_count,nyc_guard_count,indiana_guard_count,texas_big_count,southern_big_count,west_coast_wing_count,local_site_player_count,host_state_player_count
2026,Hofstra,12,24,0.706,10.0,4.48,-2.46,75.6,66.1,74.6,36.8,25.8,18.8,12.4,26.9,10.6,74.9,66.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Holy Cross,5,11,0.333,22.0,-13.67,-6.8,68.2,73.3,75.6,32.1,20.7,17.6,7.6,23.6,10.2,66.2,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Houston,14,28,0.824,6.0,26.23,11.93,77.1,62.9,77.2,34.9,25.2,16.6,12.8,23.8,8.5,80.7,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Houston Christian,8,12,0.375,20.0,-9.76,-3.63,67.1,72.2,69.69999999999999,30.9,19.6,19.6,10.2,21.7,12.4,66.0,73.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Howard,11,23,0.697,10.0,-4.64,-11.85,77.5,67.8,73.1,34.5,19.3,25.5,12.4,24.2,13.5,73.9,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Idaho,9,21,0.6,14.0,-0.05,-2.7,78.7,72.6,73.5,35.6,28.0,20.4,10.7,26.7,10.6,77.9,73.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Idaho State,5,13,0.394,20.0,-5.54,-1.61,74.5,76.2,73.8,33.0,23.2,21.5,11.0,22.3,11.1,74.0,76.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Illinois,15,24,0.75,8.0,26.45,11.89,84.4,69.8,78.9,34.699999999999996,31.4,20.4,13.2,27.5,8.9,88.0,66.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Illinois State,12,20,0.625,12.0,6.3,0.85,75.1,68.4,70.19999999999999,35.199999999999996,24.4,18.1,9.8,25.9,11.3,75.4,68.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Illinois-Chicago,12,19,0.559,15.0,3.81,0.46,75.5,70.0,73.0,32.300000000000004,19.2,21.4,12.9,23.5,12.0,75.6,69.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
