season,team,conference,wins,losses,win_pct,adj_margin,strength_of_schedule,points_per_game,points_allowed_per_game,ft_pct,three_pt_pct,three_pa_rate,ft_rate,off_rebound_pct,def_rebound_pct,turnover_pct,adj_offense,adj_defense,coach,coach_years_at_school,coach_ncaa_games,coach_sweet16s,coach_finalfours,road_wins,road_losses,neutral_wins,neutral_losses,net_rank,quad1_wins,quad2_wins,tempo,opp_turnover_pct,opp_three_pt_pct,close_game_record,last10_win_pct,last10_adj_margin,avg_age,underclass_minutes_pct,freshman_minutes_pct,freshman_guard_minutes_pct,sophomore_minutes_pct,junior_minutes_pct,senior_minutes_pct,returning_starters,returning_minutes_pct,primary_guard_experience_score,backcourt_experience_score,frontcourt_experience_score,bench_minutes_pct,bench_points_pct,injury_flag,star_player_flag,chicago_guard_count,nyc_guard_count,indiana_guard_count,texas_big_count,southern_big_count,west_coast_wing_count,local_site_player_count,host_state_player_count,wab,barthag,eff_fg_pct,opp_eff_fg_pct
2018,Abilene Christian,8,16,16,0.5,-9.5,-6.82,73.7,71.2,70.1,31.8,35.4,31.5,27.3,29.7,20.3,97.1,106.6,,,,,,,,,,,,,69.7,21.6,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.3,0.2555,50.4,51.4
2018,Air Force,6,12,19,0.387,-6.2,1.72,68.5,72.4,73.4,32.5,43.5,32.0,27.4,28.8,18.8,99.8,106.0,,,,,,,,,,,,,66.8,20.6,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.8,0.3335,47.6,54.9
2018,Akron,6,14,18,0.438,-5.1,-1.92,71.8,75.3,69.6,35.6,46.5,31.4,27.0,28.3,19.8,102.4,107.5,,,,,,,,,,,,,68.8,18.5,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.1,0.362,51.5,54.2
2018,Alabama,8,20,16,0.556,12.3,10.64,72.3,70.6,67.0,32.6,35.6,41.9,29.4,30.9,20.3,107.6,95.3,,,,,,,,,,,,,69.9,18.7,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1,0.8,51.9,47.8
2018,Alabama A&M,3,3,28,0.097,-27.4,-8.04,60.4,76.4,64.7,30.3,35.4,31.4,30.0,32.5,24.2,87.2,114.6,,,,,,,,,,,,,67.5,16.6,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.9,0.0415,45.0,54.0
2018,Alabama State,8,8,23,0.258,-21.4,-8.62,68.7,78.6,64.60000000000001,32.8,34.7,35.2,31.9,34.7,19.9,94.5,115.9,,,,,,,,,,,,,70.2,18.3,37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.2,0.0875,46.5,51.9
2018,Albany,10,22,10,0.688,1.6,-5.4,74.2,68.2,75.4,36.8,27.3,37.0,34.6,24.3,17.5,106.6,105.0,,,,,,,,,,,,,67.4,17.0,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9,0.5442,50.5,50.6
2018,Alcorn State,7,11,21,0.344,-20.3,-8.6,70.1,74.6,70.7,32.7,38.1,33.7,27.1,33.1,20.8,94.0,114.3,,,,,,,,,,,,,69.2,17.9,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.4,0.096,48.3,52.1
2018,American,3,6,24,0.2,-14.4,-6.16,65.4,73.8,66.4,33.8,43.9,30.4,23.8,31.4,20.4,95.9,110.3,,,,,,,,,,,,,67.6,20.4,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.0,0.1669,50.7,54.8
2018,Appalachian State,9,15,18,0.455,-3.5,-2.67,76.4,74.2,66.8,33.3,43.1,36.8,29.5,25.6,18.9,103.0,106.5,,,,,,,,,,,,,71.2,17.2,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.4,0.404,49.9,51.3
2018,Arizona,14,27,8,0.771,16.5,6.84,80.5,71.7,76.0,36.9,32.0,36.9,33.2,25.1,17.5,117.1,100.6,,,,,,,,,,,,,68.3,16.7,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,0.8524,56.3,49.9
