season,team,avg_class,freshman_min_pct,sophomore_min_pct,junior_min_pct,senior_min_pct,underclass_min_pct,player_count
2015,Elon,2.523,33.3,12.2,23.4,31.1,45.5,15
2015,Bowling Green,3.163,3.7,15.0,42.5,38.8,18.7,15
2015,Santa Clara,2.418,25.1,41.4,0.0,33.5,66.5,14
2015,Holy Cross,2.989,4.9,29.9,26.5,38.6,34.8,15
2015,Chattanooga,2.786,0.5,44.2,31.6,23.8,44.7,13
2015,Manhattan,2.991,7.2,24.8,29.6,38.4,32.1,13
2015,Western Kentucky,2.865,16.7,27.6,8.2,47.5,44.3,14
2015,Southern,3.078,11.7,16.0,24.3,47.8,27.8,15
2015,UTEP,2.925,15.6,21.7,17.1,45.5,37.4,10
2015,Northern Iowa,3.165,9.2,11.6,32.6,46.6,20.8,13
2015,South Dakota,3.252,6.8,0.0,54.3,38.9,6.8,12
2015,SMU,2.991,0.0,37.7,25.4,36.8,37.7,13
2015,Marist,2.764,24.4,12.6,25.3,37.8,37.0,13
2015,Syracuse,2.486,20.8,26.6,35.4,17.1,47.4,13
2015,Morgan St.,2.876,7.9,24.7,39.1,28.2,32.6,17
2015,St. Francis NY,3.166,13.1,3.8,36.4,46.7,17.0,12
2015,Binghamton,1.449,59.7,36.3,3.5,0.6,96.0,13
2015,Oral Roberts,2.640,11.9,29.5,41.3,17.3,41.4,12
2015,Charleston,2.254,28.9,43.3,1.3,26.5,72.2,13
2015,San Francisco,3.155,14.3,0.1,41.3,44.2,14.4,17
2015,St. John's,3.382,4.6,16.2,15.5,63.6,20.8,13
2015,Virginia,2.652,15.6,15.7,56.6,12.1,31.3,15
2015,USC Upstate,3.035,9.7,25.1,17.1,48.1,34.8,13
2015,Maine,2.280,31.5,23.6,30.2,14.6,55.2,14
2015,Oklahoma,2.824,5.7,24.2,51.9,18.1,30.0,14
2015,East Tennessee St.,2.925,5.6,32.3,26.2,35.9,37.9,12
2015,Texas Tech,2.131,44.1,14.7,25.2,16.0,58.8,15
2015,Wright St.,2.662,27.6,7.9,35.2,29.3,35.5,14
2015,William & Mary,2.517,21.4,29.0,26.0,23.5,50.4,13
2015,Ohio St.,2.599,39.5,10.8,0.0,49.7,50.3,11
2015,Texas St.,3.074,0.7,21.5,47.4,30.3,22.2,14
2015,Missouri St.,2.453,19.9,22.2,50.6,7.3,42.1,12
2015,Notre Dame,2.767,8.6,41.8,13.9,35.7,50.4,13
2015,Charleston Southern,3.516,9.3,0.0,20.6,70.1,9.3,13
2015,Jackson St.,2.421,6.5,51.4,20.2,18.1,57.9,17
2015,The Citadel,2.912,14.7,22.5,19.8,43.0,37.2,11
2015,Rhode Island,2.361,26.5,32.5,19.4,21.6,59.0,14
2015,Hartford,3.318,10.6,12.7,11.1,65.7,23.3,14
2015,Louisville,2.458,24.6,31.7,17.0,26.7,56.3,16
2015,Albany,2.654,11.9,27.4,44.2,16.5,39.3,15
2015,Texas,2.625,13.6,22.6,51.6,12.3,36.2,16
2015,Nicholls St.,2.342,10.8,44.3,44.8,0.1,55.1,14
2015,Charlotte,2.563,25.6,20.2,26.5,27.7,45.8,14
2015,Montana St.,2.855,11.4,10.2,36.3,36.2,21.7,12
2015,Saint Peter's,3.094,6.4,27.5,15.3,50.5,33.9,14
2015,Coastal Carolina,2.931,0.0,33.8,39.2,27.0,33.8,13
2015,Samford,2.511,30.7,13.9,28.9,26.4,44.7,14
2015,Wyoming,3.321,11.6,8.1,16.9,63.4,19.7,12
2015,Tennessee,2.692,18.0,13.1,50.6,18.3,31.1,13
2015,Illinois Chicago,2.983,15.5,9.8,35.6,39.1,25.3,14
2015,Rutgers,2.756,22.9,15.1,25.3,36.6,38.1,14
2015,BYU,2.916,20.1,9.9,28.3,41.7,30.0,15
2015,IU Indy,2.498,26.8,16.2,37.6,19.5,43.0,13
2015,Houston Christian,2.687,13.8,32.2,25.4,28.6,46.0,15
2015,Nebraska,2.873,11.3,8.7,61.4,18.6,20.0,13
2015,Davidson,2.323,33.9,18.2,29.4,18.4,52.2,16
2015,Mississippi St.,2.707,20.2,11.7,45.5,22.7,31.9,13
2015,Mercer,2.954,15.0,3.4,53.0,28.7,18.3,14
2015,North Carolina Central,3.630,0.0,4.1,28.8,67.1,4.1,12
2015,McNeese St.,3.185,6.1,19.9,23.4,50.6,26.0,13
2015,N.C. State,2.343,20.8,42.9,17.5,18.8,63.7,15
2015,Bradley,2.699,20.4,4.2,60.5,14.9,24.6,13
2015,Creighton,3.173,12.3,13.7,18.3,55.6,26.0,14
2015,Penn St.,2.807,21.5,12.0,30.9,35.7,33.5,14
2015,Kentucky,1.732,42.6,42.1,14.9,0.4,84.7,16
2015,Texas Southern,3.325,3.1,2.4,53.4,41.1,5.5,13
2015,Bucknell,2.376,33.0,15.6,32.2,19.2,48.6,14
2015,Cincinnati,2.474,16.8,30.0,42.4,10.9,46.7,13
2015,California,2.637,9.4,41.3,25.3,24.0,50.7,14
2015,VMI,2.724,6.3,37.6,32.1,23.7,43.9,15
2015,Eastern Kentucky,3.268,4.1,18.2,24.6,53.1,22.3,12
2015,Denver,2.962,18.3,0.0,48.9,32.8,18.3,12
2015,Boise St.,2.975,8.9,28.9,18.1,44.1,37.8,15
2015,South Dakota St.,2.718,22.6,4.7,51.0,21.7,27.3,14
2015,East Carolina,2.495,18.9,31.5,30.7,18.8,50.4,15
2015,DePaul,2.892,0.9,34.6,38.8,25.7,35.5,14
2015,Oregon,2.384,44.8,0.2,26.9,28.1,45.0,15
2015,VCU,2.389,21.9,40.9,13.6,23.6,62.8,14
2015,Tulane,2.538,15.6,41.8,15.8,26.8,57.4,13
2015,Evansville,2.554,0.0,49.7,45.3,5.0,49.7,11
2015,Miami OH,2.745,17.7,5.9,60.4,16.0,23.7,15
2015,Dartmouth,2.873,14.7,6.5,55.6,23.2,21.2,16
2015,Tennessee St.,2.183,48.0,0.0,37.9,14.2,48.0,10
2015,Michigan St.,2.848,16.7,11.7,41.8,29.9,28.4,13
2015,Yale,3.203,9.5,8.4,33.7,48.2,17.9,14
2015,Saint Francis,3.152,4.6,18.1,34.8,42.5,22.7,16
2015,Robert Morris,2.491,28.5,13.7,37.8,19.9,42.3,14
2015,Saint Louis,1.849,50.8,19.9,23.0,6.3,70.7,14
2015,UT Rio Grande Valley,2.297,35.2,17.4,29.8,17.6,52.6,12
2015,North Dakota St.,2.330,30.1,25.9,24.9,19.1,56.0,12
2015,Massachusetts,2.790,21.1,6.5,44.6,27.8,27.6,12
2015,UNC Wilmington,2.975,17.0,12.0,23.3,46.6,29.0,11
2015,North Carolina,2.309,22.6,26.5,48.3,2.6,49.1,17
2015,Saint Joseph's,2.412,22.5,32.0,27.4,18.2,54.4,13
2015,Lipscomb,2.405,22.8,39.7,11.7,25.8,62.5,14
2015,Austin Peay,3.042,15.3,4.9,40.3,39.6,20.1,12
2015,New Mexico,2.654,20.5,24.8,23.4,31.3,45.3,12
2015,Louisiana Tech,2.941,19.2,14.6,19.1,47.1,33.8,12
2015,Hofstra,2.760,10.0,25.6,42.7,21.7,35.7,11
2015,Liberty,2.701,26.7,7.8,34.2,31.3,34.5,14
2015,Vanderbilt,1.707,59.3,25.1,0.9,14.6,84.4,13
2015,Duke,2.062,50.0,11.8,20.3,17.9,61.8,12
2015,Monmouth,2.784,7.6,42.5,13.9,36.0,50.0,13
2015,Montana,2.636,12.0,43.2,14.1,30.7,55.2,11
2015,Alabama,2.649,20.0,29.4,16.2,34.4,49.4,12
2015,Drake,2.613,33.8,14.1,9.2,42.9,47.9,11
2015,San Jose St.,2.162,26.6,41.2,16.1,14.7,67.8,15
2015,Canisius,2.382,30.2,25.0,21.2,23.6,55.2,11
2015,Rider,2.934,3.3,27.1,42.5,27.1,30.4,13
2015,Furman,1.940,45.8,15.4,37.9,1.0,61.2,13
2015,Loyola Chicago,2.642,24.4,8.8,44.7,22.0,33.3,15
2015,Towson,2.309,27.2,24.3,38.9,9.6,51.5,11
2015,Rice,2.529,25.9,26.4,16.4,31.2,52.4,14
2015,Washington,2.787,8.0,32.7,32.0,27.3,40.7,14
2015,Tennessee Tech,2.917,12.8,13.3,43.3,30.6,26.1,12
2015,Gonzaga,3.111,16.3,0.7,38.8,44.3,16.9,14
2015,Stephen F. Austin,2.923,12.4,11.1,48.3,28.2,23.5,15
2015,Lehigh,2.316,23.8,37.0,23.0,16.2,60.8,16
2015,Siena,2.525,11.4,49.2,14.6,24.8,60.6,14
2015,North Dakota,2.979,13.7,17.3,26.3,42.7,31.0,14
2015,Tennessee Martin,3.196,3.0,12.5,46.3,38.1,15.5,14
2015,Marquette,2.785,21.1,23.4,11.1,44.3,44.6,12
2015,UMass Lowell,2.595,32.8,19.2,3.6,44.3,52.0,11
2015,Butler,2.934,13.6,13.0,40.0,33.5,26.6,12
2015,St. Bonaventure,2.960,16.0,7.9,40.1,36.0,23.9,13
2015,Virginia Tech,1.903,52.1,14.9,23.6,9.4,67.0,11
2015,Middle Tennessee,2.544,25.8,16.2,35.7,22.2,42.0,13
2015,Prairie View A&M,3.340,8.4,0.0,31.7,57.7,8.4,13
2015,Villanova,2.885,7.2,23.9,42.2,26.7,31.0,12
2015,Hampton,3.033,3.9,5.8,73.5,16.9,9.7,16
2015,Lafayette,3.091,5.1,25.6,24.5,44.8,30.7,15
2015,Wichita St.,2.835,16.6,9.8,47.1,26.5,26.4,16
2015,Radford,3.443,0.0,2.6,50.6,46.8,2.6,11
2015,NJIT,2.645,3.6,46.1,32.7,17.7,49.6,11
2015,Niagara,1.647,42.4,50.6,7.1,0.0,92.9,14
2015,Texas A&M Corpus Chris,2.752,9.8,23.5,48.4,18.3,33.3,15
