season,team,conference,wins,losses,win_pct,adj_margin,strength_of_schedule,points_per_game,points_allowed_per_game,ft_pct,three_pt_pct,three_pa_rate,ft_rate,off_rebound_pct,def_rebound_pct,turnover_pct,adj_offense,adj_defense,coach,coach_years_at_school,coach_ncaa_games,coach_sweet16s,coach_finalfours,road_wins,road_losses,neutral_wins,neutral_losses,net_rank,quad1_wins,quad2_wins,tempo,opp_turnover_pct,opp_three_pt_pct,close_game_record,last10_win_pct,last10_adj_margin,avg_age,underclass_minutes_pct,freshman_minutes_pct,freshman_guard_minutes_pct,sophomore_minutes_pct,junior_minutes_pct,senior_minutes_pct,returning_starters,returning_minutes_pct,primary_guard_experience_score,backcourt_experience_score,frontcourt_experience_score,bench_minutes_pct,bench_points_pct,injury_flag,star_player_flag,chicago_guard_count,nyc_guard_count,indiana_guard_count,texas_big_count,southern_big_count,west_coast_wing_count,local_site_player_count,host_state_player_count,wab,barthag,eff_fg_pct,opp_eff_fg_pct
2025,Abilene Christian,8,16,1,0.5,-3.5,-2.39,70.6,70.3,71.5,28.9,25.3,37.2,30.0,31.5,20.7,98.2,101.7,,,,,,,,,,,,,69.9,24.0,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.4,0.3994,46.7,51.4
2025,Air Force,1,4,2,0.125,-10.9,3.65,61.9,73.7,63.5,33.1,48.5,35.4,22.7,29.0,20.8,98.8,109.7,,,,,,,,,,,,,65.2,15.7,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.3,0.2311,50.1,54.6
2025,Akron,17,28,3,0.8,6.7,-3.75,84.0,75.1,75.4,36.4,45.2,27.0,32.5,29.4,16.4,112.9,106.2,,,,,,,,,,,,,71.9,17.3,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6,0.6694,54.9,50.1
2025,Alabama,13,28,4,0.757,30.8,16.14,90.7,81.3,72.0,35.3,46.6,39.3,33.7,29.4,16.6,127.1,96.3,,,,,,,,,,,,,75.5,13.5,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,0.9607,56.6,47.8
2025,Alabama A&M,6,10,5,0.313,-21.7,-9.93,73.0,78.8,66.4,30.8,41.6,38.6,33.9,34.6,21.9,92.9,114.6,,,,,,,,,,,,,71.5,21.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.7,0.0822,45.1,54.3
2025,Alabama State,12,20,6,0.556,-9.0,-8.19,73.1,72.4,68.60000000000001,32.6,42.7,29.1,28.0,30.8,13.1,101.3,110.3,,,,,,,,,,,,,68.4,18.7,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.1,0.2734,47.0,50.7
2025,Albany,8,17,7,0.515,-9.6,-8.55,74.6,73.8,71.6,31.7,36.0,29.5,32.3,28.4,15.7,103.0,112.6,,,,,,,,,,,,,68.3,19.8,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.9,0.2652,49.3,54.9
2025,Alcorn State,11,11,8,0.344,-14.1,-6.96,65.0,72.1,71.7,31.8,29.6,30.4,33.6,32.5,19.6,97.1,111.2,,,,,,,,,,,,,65.5,18.3,34.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.9,0.1732,46.1,53.0
2025,American,13,22,9,0.629,-7.0,-6.85,68.7,67.7,75.4,35.2,45.3,29.0,23.8,27.4,16.9,101.9,108.9,,,,,,,,,,,,,64.2,17.7,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.2,0.3177,52.0,52.5
2025,Appalachian State,10,17,10,0.548,0.5,-3.83,67.8,63.5,65.10000000000001,34.0,41.1,35.1,27.6,29.6,16.9,101.1,100.6,,,,,,,,,,,,,63.9,14.8,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.3,0.5158,49.6,46.1
2025,Arizona,14,24,11,0.649,27.2,13.72,82.5,73.3,78.0,33.8,34.7,35.8,36.0,27.9,16.0,124.0,96.8,,,,,,,,,,,,,70.7,16.2,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,0.9453,53.3,48.9
2025,Arizona State,4,13,12,0.394,12.4,13.32,74.1,76.8,72.6,35.6,42.6,36.2,25.1,30.3,17.6,112.4,100.0,,,,,,,,,,,,,69.3,16.1,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.1,0.793,51.5,50.7
2025,Arkansas,8,22,13,0.611,17.2,11.7,76.8,71.4,73.9,32.7,36.6,35.6,28.1,29.9,16.3,112.7,95.5,,,,,,,,,,,,,69.9,17.2,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,0.8707,52.2,47.6
2025,Arkansas State,13,25,14,0.694,8.1,-2.4,79.4,70.2,72.7,32.2,44.6,33.1,33.7,30.3,14.7,110.1,102.0,,,,,,,,,,,,,70.4,17.0,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.4,0.7074,49.6,46.1
2025,Arkansas-Pine Bluff,3,6,15,0.194,-24.34,-8.44,72.3,83.9,59.3,32.300000000000004,22.5,19.0,9.9,24.1,14.5,69.8,86.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,Army,10,17,16,0.515,-12.2,-7.3,73.2,74.9,68.10000000000001,31.2,41.7,26.1,25.9,29.2,14.3,100.7,112.9,,,,,,,,,,,,,68.4,16.0,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.0,0.2114,49.5,53.7
2025,Auburn,15,32,17,0.842,35.7,15.13,83.0,69.4,72.7,36.1,40.7,33.8,34.4,29.5,13.5,128.5,92.8,,,,,,,,,,,,,68.7,17.2,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,0.9769,55.1,45.8
2025,Austin Peay,8,14,18,0.424,-11.1,-3.86,71.6,74.9,71.89999999999999,34.0,40.2,28.9,25.8,31.2,14.8,100.1,111.2,,,,,,,,,,,,,66.7,16.8,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.5,0.2298,48.7,53.8
2025,Ball State,7,14,19,0.452,-7.95,-6.49,75.4,74.2,70.39999999999999,34.5,20.7,25.3,9.4,26.1,11.7,73.5,76.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,Baylor,10,20,20,0.571,21.2,13.86,76.1,69.8,74.7,34.3,40.1,30.5,36.0,30.9,15.9,121.1,99.9,,,,,,,,,,,,,65.2,18.6,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,0.9015,51.1,52.0
2025,Bellarmine,2,5,21,0.161,-18.8,-4.88,72.6,80.1,77.3,35.6,43.2,26.5,20.2,30.0,17.4,102.8,121.6,,,,,,,,,,,,,67.0,15.4,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.3,0.1267,53.7,58.1
