season,team,conference,wins,losses,win_pct,adj_margin,strength_of_schedule,points_per_game,points_allowed_per_game,ft_pct,three_pt_pct,three_pa_rate,ft_rate,off_rebound_pct,def_rebound_pct,turnover_pct,adj_offense,adj_defense,coach,coach_years_at_school,coach_ncaa_games,coach_sweet16s,coach_finalfours,road_wins,road_losses,neutral_wins,neutral_losses,net_rank,quad1_wins,quad2_wins,tempo,opp_turnover_pct,opp_three_pt_pct,close_game_record,last10_win_pct,last10_adj_margin,avg_age,underclass_minutes_pct,freshman_minutes_pct,freshman_guard_minutes_pct,sophomore_minutes_pct,junior_minutes_pct,senior_minutes_pct,returning_starters,returning_minutes_pct,primary_guard_experience_score,backcourt_experience_score,frontcourt_experience_score,bench_minutes_pct,bench_points_pct,injury_flag,star_player_flag,chicago_guard_count,nyc_guard_count,indiana_guard_count,texas_big_count,southern_big_count,west_coast_wing_count,local_site_player_count,host_state_player_count,wab,barthag,eff_fg_pct,opp_eff_fg_pct
2016,Abilene Christian,8,13,1,0.419,-15.4,-7.53,71.3,73.3,70.1,36.3,35.0,40.3,24.5,27.6,19.2,96.0,111.4,,,,,,,,,,,,,68.3,19.2,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.3,0.1524,50.5,54.6
2016,Air Force,5,14,2,0.438,-8.0,0.66,68.4,72.8,68.30000000000001,33.4,34.3,39.6,24.3,28.1,18.8,97.4,105.4,,,,,,,,,,,,,67.9,19.4,34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.7,0.2872,48.0,51.8
2016,Akron,13,26,3,0.743,8.9,-1.24,76.6,68.0,68.4,38.2,50.9,30.6,28.5,30.4,15.5,109.0,100.1,,,,,,,,,,,,,68.3,16.7,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2,0.7257,52.7,46.8
2016,Alabama,8,18,4,0.545,9.1,8.62,66.5,67.9,64.3,33.9,43.6,40.7,28.3,34.6,19.9,105.0,95.9,,,,,,,,,,,,,65.7,18.2,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6,0.7379,49.6,46.6
2016,Alabama A&M,6,11,5,0.379,-14.0,-10.75,68.1,70.4,68.4,28.4,37.0,38.4,31.6,31.7,17.6,99.2,113.2,,,,,,,,,,,,,66.2,17.0,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.9,0.1803,46.6,50.5
2016,Alabama State,9,14,6,0.452,-13.2,-9.35,71.5,74.5,68.4,33.3,33.7,31.7,31.4,30.0,17.2,97.6,110.8,,,,,,,,,,,,,69.8,18.3,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.9,0.1891,45.8,51.2
2016,Albany,13,24,7,0.727,2.9,-7.57,75.6,66.1,75.1,32.3,32.0,43.3,34.8,25.6,18.4,105.0,102.1,,,,,,,,,,,,,67.3,18.7,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.8,0.5811,50.7,48.7
2016,Alcorn State,13,15,8,0.5,-15.6,-9.94,67.1,72.1,67.80000000000001,30.8,34.2,38.4,34.8,31.9,21.1,96.3,111.9,,,,,,,,,,,,,66.5,17.3,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.3,0.1514,45.6,51.0
2016,American,9,12,9,0.387,-16.2,-6.08,57.6,65.7,69.6,34.1,38.5,31.7,23.5,30.2,22.1,90.8,107.0,,,,,,,,,,,,,62.2,19.2,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.8,0.1314,49.0,51.6
2016,Appalachian State,7,9,10,0.29,-9.2,-1.1,70.5,77.4,70.3,35.6,40.1,39.1,33.0,32.3,21.0,100.5,109.7,,,,,,,,,,,,,71.3,15.9,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.0,0.2679,47.2,51.2
