season,team,conference,wins,losses,win_pct,adj_margin,strength_of_schedule,points_per_game,points_allowed_per_game,ft_pct,three_pt_pct,three_pa_rate,ft_rate,off_rebound_pct,def_rebound_pct,turnover_pct,adj_offense,adj_defense,coach,coach_years_at_school,coach_ncaa_games,coach_sweet16s,coach_finalfours,road_wins,road_losses,neutral_wins,neutral_losses,net_rank,quad1_wins,quad2_wins,tempo,opp_turnover_pct,opp_three_pt_pct,close_game_record,last10_win_pct,last10_adj_margin,avg_age,underclass_minutes_pct,freshman_minutes_pct,freshman_guard_minutes_pct,sophomore_minutes_pct,junior_minutes_pct,senior_minutes_pct,returning_starters,returning_minutes_pct,primary_guard_experience_score,backcourt_experience_score,frontcourt_experience_score,bench_minutes_pct,bench_points_pct,injury_flag,star_player_flag,chicago_guard_count,nyc_guard_count,indiana_guard_count,texas_big_count,southern_big_count,west_coast_wing_count,local_site_player_count,host_state_player_count,wab,barthag,eff_fg_pct,opp_eff_fg_pct
2022,Abilene Christian,11,25,1,0.694,4.5,-2.09,76.7,67.6,75.4,32.2,36.3,39.3,27.8,30.9,17.6,103.5,99.0,,,,,,,,,,,,,71.2,27.9,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.1,0.6236,48.4,52.0
2022,Air Force,4,11,2,0.379,-6.7,1.33,59.0,66.0,64.9,33.3,43.5,26.8,19.6,29.4,21.5,95.4,102.1,,,,,,,,,,,,,64.2,20.3,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.1,0.3133,50.9,51.5
2022,Akron,14,24,3,0.706,2.7,-3.93,70.6,62.6,68.89999999999999,35.3,41.4,39.3,29.0,26.4,17.7,104.8,102.1,,,,,,,,,,,,,62.9,17.5,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.3,0.5744,52.5,49.1
2022,Alabama,9,19,4,0.576,17.3,11.59,79.5,76.5,72.8,30.9,47.6,32.9,35.3,30.5,19.8,115.3,98.0,,,,,,,,,,,,,72.8,17.9,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.866,51.3,49.8
2022,Alabama A&M,10,12,5,0.4,-15.0,-8.86,61.4,67.0,71.3,27.1,24.9,33.5,28.7,31.0,19.6,85.7,100.7,,,,,,,,,,,,,67.5,19.6,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.0,0.1351,41.3,46.3
2022,Alabama State,8,10,6,0.323,-14.5,-5.45,69.7,75.2,69.8,33.0,33.1,36.9,29.5,33.5,21.5,95.2,109.7,,,,,,,,,,,,,70.7,19.4,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.3,0.1638,47.7,50.4
2022,Albany,9,13,7,0.419,-10.2,-5.77,61.8,65.9,70.39999999999999,32.3,32.3,24.9,26.1,27.2,18.7,91.8,102.0,,,,,,,,,,,,,66.3,20.7,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.8,0.229,46.2,50.7
2022,Alcorn State,14,17,8,0.5,-6.5,-4.12,66.5,71.1,69.19999999999999,31.8,29.0,32.5,31.9,27.9,20.3,97.7,104.2,,,,,,,,,,,,,68.4,19.1,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.2,0.3218,45.9,50.9
2022,American,5,10,9,0.313,-17.6,-7.91,63.5,70.9,69.39999999999999,33.1,28.0,25.6,25.0,29.0,20.2,93.0,110.6,,,,,,,,,,,,,65.9,17.4,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.2,0.1189,49.6,53.3
2022,Appalachian State,12,19,10,0.559,1.2,-1.45,67.1,63.1,65.9,33.5,43.3,27.6,26.3,26.0,16.0,100.7,99.5,,,,,,,,,,,,,65.4,17.9,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.0,0.5333,48.4,49.8
