season,team,conference,wins,losses,win_pct,adj_margin,strength_of_schedule,points_per_game,points_allowed_per_game,ft_pct,three_pt_pct,three_pa_rate,ft_rate,off_rebound_pct,def_rebound_pct,turnover_pct,adj_offense,adj_defense,coach,coach_years_at_school,coach_ncaa_games,coach_sweet16s,coach_finalfours,road_wins,road_losses,neutral_wins,neutral_losses,net_rank,quad1_wins,quad2_wins,tempo,opp_turnover_pct,opp_three_pt_pct,close_game_record,last10_win_pct,last10_adj_margin,avg_age,underclass_minutes_pct,freshman_minutes_pct,freshman_guard_minutes_pct,sophomore_minutes_pct,junior_minutes_pct,senior_minutes_pct,returning_starters,returning_minutes_pct,primary_guard_experience_score,backcourt_experience_score,frontcourt_experience_score,bench_minutes_pct,bench_points_pct,injury_flag,star_player_flag,chicago_guard_count,nyc_guard_count,indiana_guard_count,texas_big_count,southern_big_count,west_coast_wing_count,local_site_player_count,host_state_player_count,wab,barthag,eff_fg_pct,opp_eff_fg_pct
2019,Abilene Christian,14,27,1,0.794,0.3,-7.34,73.6,63.6,71.2,37.7,34.5,34.0,27.0,28.5,17.3,101.5,101.2,,,,,,,,,,,,,66.9,23.3,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5,0.5069,51.9,49.8
2019,Air Force,8,14,2,0.438,-6.2,0.24,68.1,71.7,67.80000000000001,32.3,40.6,28.3,23.2,24.1,19.3,99.7,105.9,,,,,,,,,,,,,67.6,17.8,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.6,0.3327,51.3,53.6
2019,Akron,8,17,3,0.515,5.4,1.09,68.8,63.8,70.5,31.7,47.6,27.7,25.1,29.9,17.3,99.0,93.6,,,,,,,,,,,,,67.5,19.1,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.9,0.656,48.2,45.5
2019,Alabama,8,18,4,0.529,11.9,9.01,72.0,71.6,66.60000000000001,34.0,36.9,38.0,31.5,28.0,19.5,108.4,96.5,,,,,,,,,,,,,69.9,16.9,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13,0.7921,50.3,48.9
2019,Alabama A&M,4,5,5,0.156,-21.5,-8.38,60.6,71.4,62.7,31.6,31.9,25.1,28.0,32.1,22.3,87.1,108.6,,,,,,,,,,,,,66.9,21.0,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.4,0.0732,45.8,53.7
2019,Alabama State,9,12,6,0.387,-17.0,-7.84,67.3,72.1,65.2,32.1,39.0,37.4,31.6,32.4,21.0,93.8,110.8,,,,,,,,,,,,,68.3,21.2,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.5,0.1281,46.1,53.0
2019,Albany,7,12,7,0.375,-9.2,-6.7,67.2,69.2,74.5,34.8,45.5,32.5,27.3,28.3,20.9,97.7,106.9,,,,,,,,,,,,,67.4,18.5,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.5,0.2622,49.3,52.1
2019,Alcorn State,6,10,8,0.323,-23.2,-8.97,64.4,70.8,67.4,31.3,36.2,30.5,30.1,31.5,24.1,88.5,111.7,,,,,,,,,,,,,66.9,18.2,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.5,0.0642,45.7,52.7
2019,American,9,15,9,0.5,-1.5,-7.23,72.0,69.0,69.8,32.5,35.5,35.8,26.1,27.4,18.7,101.6,103.1,,,,,,,,,,,,,68.0,17.7,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.1,0.4576,53.2,48.2
2019,Appalachian State,6,11,10,0.344,-2.8,0.1,79.9,79.3,71.5,34.4,41.9,37.0,25.9,29.8,17.8,105.6,108.4,,,,,,,,,,,,,72.7,17.4,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.7,0.4275,51.4,53.8
