team,close_wins,close_losses,close_game_record,last10_win_pct,last10_adj_margin
James Madison,1,0,1.0,0.5,-5.0
Kansas City,0,0,0.5,0.0,-12.0
Kansas,6,1,0.857,0.5,-3.6
Kansas State,0,0,0.5,0.1,-12.8
Kennesaw State,0,1,0.0,0.333,13.7
Kent State,1,0,1.0,0.333,-14.7
Kentucky,0,0,0.5,0.0,-55.0
Kentucky,2,1,0.667,0.5,-2.3
Louisiana State,0,1,0.0,0.0,-15.5
La Salle,0,0,0.5,0.0,-38.0
Lafayette,0,1,0.0,0.0,-2.0
Lamar,0,0,0.5,0.5,-2.5
Le Moyne,1,1,0.5,0.5,-4.2
Lehigh,0,0,0.5,0.333,-11.0
Liberty,1,0,1.0,1.0,10.5
Lindenwood,1,1,0.5,0.5,-2.8
Lipscomb,1,0,1.0,0.5,-3.8
Little Rock,1,1,0.5,0.75,8.8
Long Beach State,0,1,0.0,0.0,-12.6
Long Island University,1,0,1.0,0.4,-9.8
Longwood,0,1,0.0,0.0,-6.0
Louisiana,0,0,0.5,0.0,-53.0
Louisiana,0,1,0.0,0.0,-11.7
Louisiana Tech,1,0,1.0,1.0,29.5
Louisville,2,4,0.333,0.6,6.1
Loyola,0,1,0.0,0.0,-17.5
Loyola,0,0,0.5,0.0,-24.5
Loyola Marymount,0,0,0.5,0.5,-4.0
Lyon Scots,0,0,0.5,0.0,-58.0
Maine,1,0,1.0,0.333,-10.0
Manhattan,0,0,0.5,0.0,-14.3
Manor College,0,0,0.5,0.0,-48.0
Marist,1,0,1.0,0.4,-6.8
Marquette,1,1,0.5,0.286,-9.0
Marshall,1,0,1.0,0.75,22.5
Maryland,1,0,1.0,0.333,-19.7
Maryland,0,0,0.5,0.0,-23.2
Massachusetts,1,1,0.5,0.333,-2.3
McNeese Cowboys,0,1,0.0,0.6,1.4
Memphis,0,0,0.5,0.0,-14.0
Mercer,0,1,0.0,0.333,-1.3
Mercyhurst,1,2,0.333,0.5,4.0
Merrimack,2,1,0.667,0.571,-4.3
Miami,5,1,0.833,0.9,6.9
Miami,1,2,0.333,0.333,-4.4
Michigan State,5,3,0.625,0.6,1.3
Michigan,7,2,0.778,0.9,9.2
Middle Tennessee,1,0,1.0,0.5,-4.0
Milwaukee,0,0,0.5,0.0,-13.2
Minnesota,0,0,0.5,0.0,-34.0
Minnesota,2,1,0.667,0.375,-6.6
Mississippi State,0,0,0.5,0.0,-23.7
Mississippi Valley State,0,0,0.5,0.0,-29.0
Missouri State,1,1,0.5,0.667,4.3
Missouri,3,2,0.6,0.4,-5.8
Monmouth,0,1,0.0,0.5,5.2
Montana,0,1,0.0,0.6,2.4
Montana State,1,2,0.333,0.6,5.2
Morehead State,2,0,1.0,0.6,-7.4
Morehouse Maroon,0,0,0.5,0.0,-9.0
Morgan State,0,0,0.5,0.0,-19.0
Mount St. Mary's,1,0,1.0,0.667,0.0
Murray State,2,0,1.0,1.0,3.0
North Carolina State,1,2,0.333,0.2,-10.9
NJIT,0,0,0.5,0.4,-11.6
Navy,0,0,0.5,0.0,-13.0
Nebraska,3,3,0.5,0.6,4.7
Nevada,0,0,0.5,0.0,-9.0
New Hampshire,0,0,0.5,0.333,-7.8
New Haven,0,1,0.0,0.4,-10.6
New Mexico,0,0,0.5,0.0,-50.0
New Mexico,0,0,0.5,1.0,50.0
New Mexico State,0,0,0.5,0.0,-9.0
New Orleans,2,0,1.0,0.6,-11.4
Niagara,0,1,0.0,0.0,-22.6
Nicholls,0,0,0.5,0.0,-23.0
Norfolk State,0,1,0.0,0.333,-5.3
North Alabama,0,1,0.0,0.333,-1.3
North Carolina A&T,1,0,1.0,0.333,-11.0
North Carolina Central,0,0,0.5,0.333,-18.3
North Carolina,7,2,0.778,0.6,-0.5
North Dakota,0,0,0.5,0.5,-2.8
North Dakota State,1,0,1.0,1.0,19.5
North Florida,1,1,0.5,0.167,-23.7
North Texas,1,0,1.0,0.667,1.0
Northeastern,0,0,0.5,0.0,-16.0
Northern Arizona,0,0,0.5,0.0,-21.0
Northern Colorado,0,1,0.0,0.25,-3.5
Northern Illinois,0,0,0.5,0.0,-24.5
Northern Iowa,0,1,0.0,0.75,19.0
Northern Kentucky,1,0,1.0,0.75,-2.2
Northwestern State,1,1,0.5,0.5,-0.5
Northwestern,0,1,0.0,0.0,-16.0
Notre Dame,0,1,0.0,0.0,-18.0
Oakland,0,0,0.5,0.0,-29.0
Oakland,1,1,0.5,0.286,-10.6
Ohio,0,2,0.0,0.0,-12.0
Ohio State,0,4,0.0,0.3,0.0
Oklahoma,1,3,0.25,0.167,-6.7
Oklahoma State,0,0,0.5,0.333,-6.8
Mississippi,2,4,0.333,0.222,-6.1
Omaha,1,0,1.0,0.333,-11.3
Oral Roberts,0,0,0.5,0.333,-6.3
Oregon,0,2,0.0,0.0,-14.6
Oregon State,0,0,0.5,0.333,-0.7
Ozark Christian Ambassadors,0,0,0.5,0.0,-56.0
Pacific,0,0,0.5,0.0,-22.5
Penn State,0,2,0.0,0.0,-16.1
Pennsylvania,1,1,0.5,0.333,-1.7
Pepperdine,0,0,0.5,0.0,-25.0
Pittsburgh,0,0,0.5,0.0,-20.4
Portland,1,0,1.0,0.5,-13.0
Portland State,2,0,1.0,1.0,7.0
Prairie View,0,1,0.0,0.667,7.0
Presbyterian,0,0,0.5,0.333,-16.7
Princeton,0,1,0.0,0.0,-10.5
Providence,1,2,0.333,0.143,-6.0
Purdue,4,4,0.5,0.6,6.5
Purdue Fort Wayne,0,0,0.5,0.333,15.3
Queens,1,0,1.0,0.5,-13.0
Quinnipiac,0,0,0.5,0.667,-4.3
Radford,0,0,0.5,0.5,-1.5
Rhode Island,1,0,1.0,1.0,5.0
Rhodes Lynx,0,0,0.5,0.0,-19.0
Rice,0,0,0.5,0.0,-25.0
Rider,0,1,0.0,0.0,-18.5
Robert Morris,1,0,1.0,1.0,10.3
Rutgers,0,1,0.0,0.0,-19.0
SE Louisiana,0,3,0.0,0.0,-2.3
SIU-Edwardsville,1,0,1.0,0.6,-1.0
Southern Methodist,0,3,0.0,0.222,-4.0
Sacramento State,0,0,0.5,0.0,-15.6
Sacred Heart,1,1,0.5,0.667,6.3
Saint Francis,1,1,0.5,0.2,-14.0
Saint Joseph's,0,0,0.5,0.0,-7.0
Saint Louis,2,1,0.667,0.7,8.4
Saint Mary's,0,1,0.0,0.25,-6.8
Saint Peter's,0,1,0.0,0.5,4.5
Sam Houston,0,0,0.5,0.0,-21.0
Samford,1,1,0.5,0.75,18.5
San Diego State,0,0,0.5,0.333,-15.7
San Diego,0,0,0.5,0.0,-6.0
San Francisco,0,1,0.0,0.0,-16.7
San José State,0,0,0.5,0.0,-19.0
Santa Clara,1,0,1.0,0.25,-6.5
Seattle,0,0,0.5,0.0,-14.5
Seton Hall,0,2,0.0,0.143,-4.9
Siena,0,1,0.0,0.667,7.7
South Alabama,0,0,0.5,0.667,1.7
South Carolina,1,1,0.5,0.143,-18.1
South Carolina State,1,0,1.0,0.25,-37.0
South Carolina Upstate,0,1,0.0,0.0,-15.7
South Dakota,0,0,0.5,0.333,6.7
South Dakota State,0,1,0.0,0.167,-9.7
South Florida,0,0,0.5,0.8,10.0
Southeast Missouri State,1,0,1.0,0.667,-1.3
Southern Illinois,1,0,1.0,1.0,15.5
Southern Indiana,0,2,0.0,0.25,-1.8
Southern,1,0,1.0,0.4,-7.2
Southern,0,1,0.0,0.4,1.0
Southern Utah,0,1,0.0,0.25,-7.0
Southern,0,0,0.5,0.0,-55.0
St. Bonaventure,0,0,0.5,0.0,-25.0
St. John's,3,1,0.75,0.9,9.8
St. Thomas-Minnesota Tommies,1,1,0.5,0.5,0.5
St. Xavier  (IL),0,0,0.5,0.0,-23.0
Stanford,2,1,0.667,0.571,-1.1
Stephen F. Austin,0,0,0.5,1.0,13.5
Stetson,1,1,0.5,0.5,1.2
Stonehill,0,1,0.0,0.0,-16.8
Stony Brook,0,0,0.5,0.5,1.5
