season,team,conference,wins,losses,win_pct,adj_margin,strength_of_schedule,points_per_game,points_allowed_per_game,ft_pct,three_pt_pct,three_pa_rate,ft_rate,off_rebound_pct,def_rebound_pct,turnover_pct,adj_offense,adj_defense,coach,coach_years_at_school,coach_ncaa_games,coach_sweet16s,coach_finalfours,road_wins,road_losses,neutral_wins,neutral_losses,net_rank,quad1_wins,quad2_wins,tempo,opp_turnover_pct,opp_three_pt_pct,close_game_record,last10_win_pct,last10_adj_margin,avg_age,underclass_minutes_pct,freshman_minutes_pct,freshman_guard_minutes_pct,sophomore_minutes_pct,junior_minutes_pct,senior_minutes_pct,returning_starters,returning_minutes_pct,primary_guard_experience_score,backcourt_experience_score,frontcourt_experience_score,bench_minutes_pct,bench_points_pct,injury_flag,star_player_flag,chicago_guard_count,nyc_guard_count,indiana_guard_count,texas_big_count,southern_big_count,west_coast_wing_count,local_site_player_count,host_state_player_count,wab,barthag,eff_fg_pct,opp_eff_fg_pct
2023,Abilene Christian,5.0,13,1,0.433,-2.3,0.9,75.0,71.1,72.3,34.3,33.4,32.3,25.5,28.6,17.3,103.3,105.6,,,,,,,,,,,,,69.8,23.3,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.2,0.4377,49.2,56.5
2023,Air Force,5.0,14,2,0.438,2.5,2.12,66.9,67.1,72.2,35.6,44.8,31.2,22.3,28.6,19.0,104.7,102.2,,,,,,,,,,,,,63.8,17.1,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.4,0.5686,54.2,49.3
2023,Akron,13.0,22,3,0.667,5.3,-1.65,74.6,66.9,73.9,35.0,43.9,33.7,29.8,26.5,16.6,106.9,101.6,,,,,,,,,,,,,66.0,17.8,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.9,0.6409,51.9,49.7
2023,Alabama,16.0,31,4,0.838,27.0,9.65,81.8,68.3,72.5,33.5,47.2,36.6,34.2,27.9,18.7,115.3,88.3,,,,,,,,,,,,,73.4,15.8,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,0.9559,52.1,41.3
2023,Alabama A&M,10.0,15,5,0.455,-12.3,-7.71,69.6,70.9,65.5,34.7,32.7,35.9,29.5,33.9,21.4,94.7,107.0,,,,,,,,,,,,,69.1,21.4,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.1,0.1964,48.6,49.4
2023,Alabama State,6.0,8,6,0.258,-18.3,-6.29,63.3,72.6,70.5,30.8,33.1,31.2,31.7,34.4,18.7,91.4,109.7,,,,,,,,,,,,,67.1,17.7,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.2,0.1089,42.3,49.7
2023,Albany,3.0,8,7,0.258,-18.3,-4.53,67.3,75.2,72.2,32.2,41.2,31.0,27.8,26.7,19.2,96.8,115.1,,,,,,,,,,,,,68.1,16.6,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.5,0.1203,47.3,55.3
2023,Alcorn State,15.0,18,8,0.563,-7.7,-5.81,67.7,70.6,72.1,29.6,29.7,35.3,33.7,31.4,18.3,99.3,107.0,,,,,,,,,,,,,68.0,21.0,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.1,0.2975,45.2,51.4
2023,American,7.0,17,9,0.531,-8.5,-7.73,65.4,65.9,70.1,34.6,36.1,27.9,28.3,27.9,22.0,100.0,108.5,,,,,,,,,,,,,63.2,19.2,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.4,0.2807,54.4,51.8
2023,Appalachian State,9.0,16,10,0.5,1.1,-0.98,70.2,64.6,67.60000000000001,32.9,38.3,29.3,24.5,28.8,16.3,100.2,99.1,,,,,,,,,,,,,65.8,17.1,33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.1,0.5298,48.7,47.9
2023,Arizona,14.0,28,11,0.8,23.7,8.34,81.9,71.1,70.8,37.8,37.7,35.8,30.7,26.1,18.4,118.7,95.0,,,,,,,,,,,,,73.0,16.9,32.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,0.9283,56.5,47.1
2023,Arizona State,11.0,23,12,0.639,13.3,8.18,71.1,68.0,68.89999999999999,32.2,39.3,31.2,29.2,31.5,16.8,107.5,94.2,,,,,,,,,,,,,68.9,20.1,34.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.82,48.4,46.5
2023,Arkansas,8.0,22,13,0.611,18.4,9.87,74.1,67.9,69.8,31.3,27.7,39.3,30.8,27.9,18.1,110.6,92.2,,,,,,,,,,,,,70.3,20.5,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.8904,50.9,47.2
2023,Arkansas State,4.0,13,14,0.394,-10.4,-3.3,65.7,67.6,67.7,34.6,33.5,35.1,28.8,28.0,18.1,97.8,108.2,,,,,,,,,,,,,63.9,16.6,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.6,0.2387,47.6,50.3
2023,Arkansas-Pine Bluff,6.0,10,15,0.323,-12.99,-5.36,66.9,69.7,72.7,31.6,25.0,18.9,10.1,24.4,15.3,65.3,71.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
