season,team,conference,wins,win_pct,losses,adj_margin,strength_of_schedule,points_per_game,points_allowed_per_game,ft_pct,three_pt_pct,three_pa_rate,ft_rate,off_rebound_pct,def_rebound_pct,turnover_pct,adj_offense,adj_defense,coach,coach_years_at_school,coach_ncaa_games,coach_sweet16s,coach_finalfours,road_wins,road_losses,neutral_wins,neutral_losses,net_rank,quad1_wins,quad2_wins,tempo,opp_turnover_pct,opp_three_pt_pct,close_game_record,last10_win_pct,last10_adj_margin,avg_age,underclass_minutes_pct,freshman_minutes_pct,freshman_guard_minutes_pct,sophomore_minutes_pct,junior_minutes_pct,senior_minutes_pct,returning_starters,returning_minutes_pct,primary_guard_experience_score,backcourt_experience_score,frontcourt_experience_score,bench_minutes_pct,bench_points_pct,injury_flag,star_player_flag,chicago_guard_count,nyc_guard_count,indiana_guard_count,texas_big_count,southern_big_count,west_coast_wing_count,local_site_player_count,host_state_player_count,adj_offense_pctile,adj_defense_pctile,adj_margin_pctile,turnover_pct_pctile,off_rebound_pct_pctile,def_rebound_pct_pctile,ft_pct_pctile,scoring_balance,neutral_win_pct,road_win_pct,road_neutral_win_pct,defense_score,efficiency_score,guard_play_score,clutch_score,rebounding_score,region_bias_score,consistency_score,committee_alignment_score,model_vs_committee_gap,cinderella_score,first_year_coach_flag,foul_dependence,pbp_composite,contender_score,upset_risk_score,expected_round,predicted_seed_line,slow_paced,fast_paced,title_darkhorse_flag,fraud_favorite_flag,dangerous_low_seed_flag,underseeded_flag,overseeded_flag,cinderella_flag,high_foul_dependence_flag,archetype,vuln_tags,strength_tags,explanation_summary
2026,Fairfield,11,21,0.618,13.0,-8.06,-9.06,74.4,71.5,71.0,33.6,22.6,17.5,13.9,24.6,10.2,71.7,74.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.83561643835617,50.54794520547945,72.6027397260274,15.068493150684931,2.328767123287671,46.438356164383556,64.52054794520548,,0.5,0.5,0.5,54.2,36.7,55.5,51.9,68.5,50.1,45.2,38.6,-1.9,57.0,0,17.5,50.0,48.9,52.0,R32,9,False,False,False,False,False,False,False,False,False,Solid Tournament Team,,,Fairfield profiles as a Solid Tournament Team with a contender score of 48.9/100. Key strengths: dominant rebounding. Model projects R32 exit.
2026,FDU,8,11,0.344,21.0,-14.99,-7.43,67.2,70.2,70.6,31.0,25.6,18.1,12.0,23.3,11.8,65.0,72.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.52054794520548,36.16438356164384,91.78082191780823,57.80821917808219,23.15068493150685,76.71232876712328,68.08219178082192,,0.5,0.5,0.5,48.9,32.4,40.8,44.1,44.7,50.1,11.7,18.1,14.3,42.9,0,18.1,50.0,37.9,61.6,R64,12,False,False,False,False,False,False,False,False,False,Solid Tournament Team,🧊 Shooter's curse — one cold night from three and they can't adjust,,FDU profiles as a Solid Tournament Team with a contender score of 37.9/100. Model projects R64 exit.
2026,Florida,16,26,0.788,7.0,27.9,13.11,86.8,72.0,71.0,30.8,23.9,25.2,16.1,29.3,11.9,90.7,68.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36986301369863,13.287671232876713,1.095890410958904,61.09589041095891,0.273972602739726,1.36986301369863,64.52054794520548,,0.5,0.5,0.5,71.7,72.1,40.5,44.5,99.5,50.1,96.9,90.2,-18.1,50.3,0,25.2,50.0,67.2,38.2,Elite 8,2,False,False,True,False,True,False,True,False,True,Glass & Paint,🧊 Shooter's curse — one cold night from three and they can't adjust,🔒 Solid D — won't give you easy baskets | 🪤 Trap the glass — extra possessions every single game | 📐 Consistent — no random bad nights; you know what you're getting,"Florida profiles as a Glass & Paint with a contender score of 67.2/100. Key strengths: elite defense, dominant rebounding. Model projects Elite 8 exit. [DARKHORSE ALERT | DANGEROUS LOW SEED]"
2026,Florida A&M,11,15,0.484,16.0,-14.02,-8.95,70.4,74.6,69.69999999999999,32.6,21.1,21.0,10.7,23.5,15.1,67.7,77.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.9041095890411,73.6986301369863,89.31506849315069,98.63013698630137,53.83561643835616,73.15068493150685,74.65753424657534,,0.5,0.5,0.5,32.4,31.8,30.9,35.8,32.6,50.1,23.2,22.4,9.4,17.4,0,21.0,50.0,32.1,67.9,R64,11,False,False,False,False,False,False,False,False,False,Solid Tournament Team,🔓 Below-average defense — can be carved up by quality offenses | 🧊 Shooter's curse — one cold night from three and they can't adjust,🔒 Defense travels — elite on any neutral floor,"Florida A&M profiles as a Solid Tournament Team with a contender score of 32.1/100. Watch out for: poor clutch metrics, defensive vulnerability. Model projects R64 exit."
2026,Florida Atlantic,9,18,0.545,15.0,3.77,1.93,78.7,74.3,71.0,33.2,23.6,20.2,11.9,26.8,12.3,79.3,73.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.904109589041095,45.75342465753425,32.32876712328767,72.32876712328768,25.205479452054796,11.506849315068493,64.52054794520548,,0.5,0.5,0.5,57.2,58.3,40.5,42.8,78.4,50.1,63.1,62.9,-4.6,41.6,0,20.2,50.0,56.2,48.5,Sweet 16,6,False,False,False,False,True,False,False,False,False,Glass & Paint,🧊 Shooter's curse — one cold night from three and they can't adjust,🪤 Trap the glass — extra possessions every single game,Florida Atlantic profiles as a Glass & Paint with a contender score of 56.2/100. Key strengths: dominant rebounding. Model projects Sweet 16 exit. [DANGEROUS LOW SEED]
2026,Florida Gulf Coast,8,16,0.471,18.0,-6.41,-5.03,77.4,76.4,71.89999999999999,32.4,24.5,17.9,11.9,25.0,11.0,75.9,77.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.71232876712329,77.3972602739726,66.16438356164383,37.534246575342465,25.205479452054796,39.45205479452055,56.849315068493155,,0.5,0.5,0.5,44.0,42.0,49.5,50.4,61.9,50.1,36.7,37.7,4.3,47.8,0,17.9,50.0,46.1,54.6,R32,9,False,False,False,False,False,False,False,False,False,Solid Tournament Team,🧊 Shooter's curse — one cold night from three and they can't adjust,🔒 Defense travels — elite on any neutral floor,Florida Gulf Coast profiles as a Solid Tournament Team with a contender score of 46.1/100. Model projects R32 exit.
2026,Florida International,8,15,0.469,17.0,-1.82,-0.47,80.6,77.9,68.89999999999999,35.099999999999994,20.8,24.2,13.1,24.8,13.0,80.5,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.972602739726025,78.35616438356165,48.49315068493151,86.16438356164383,7.123287671232877,42.6027397260274,82.1917808219178,,0.5,0.5,0.5,38.2,51.9,36.6,35.8,72.5,50.1,46.2,49.2,2.7,19.8,0,24.2,50.0,46.7,58.2,R32,7,False,False,False,False,False,False,False,False,True,Solid Tournament Team,,🔒 Defense travels — elite on any neutral floor | 🪤 Trap the glass — extra possessions every single game,"Florida International profiles as a Solid Tournament Team with a contender score of 46.7/100. Key strengths: dominant rebounding. Watch out for: poor clutch metrics, defensive vulnerability. Model projects R32 exit."
2026,Florida State,10,18,0.545,15.0,11.66,9.24,80.4,77.9,71.3,33.1,31.4,21.5,11.5,23.8,10.9,83.2,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.602739726027398,57.534246575342465,17.534246575342465,34.794520547945204,32.19178082191781,64.10958904109589,62.87671232876713,,0.5,0.5,0.5,46.3,64.8,50.0,49.2,59.8,50.1,71.9,71.5,-6.7,44.8,0,21.5,50.0,57.1,44.8,Sweet 16,4,False,False,False,False,True,False,False,False,False,Solid Tournament Team,🧊 Shooter's curse — one cold night from three and they can't adjust,🔒 Defense travels — elite on any neutral floor,Florida State profiles as a Solid Tournament Team with a contender score of 57.1/100. Model projects Sweet 16 exit. [DANGEROUS LOW SEED]
2026,Fordham,8,17,0.531,15.0,0.25,-0.96,69.8,65.5,69.69999999999999,29.4,22.9,15.3,12.4,25.9,11.4,69.5,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.05479452054794,5.47945205479452,40.821917808219176,48.08219178082192,16.164383561643834,20.273972602739725,74.65753424657534,,0.5,0.5,0.5,71.9,54.0,41.0,43.9,77.7,50.1,56.5,55.2,-1.2,54.0,0,15.3,50.0,57.2,47.0,Sweet 16,6,False,False,False,False,True,False,False,False,False,Glass & Paint,🧊 Shooter's curse — one cold night from three and they can't adjust,🔒 Solid D — won't give you easy baskets | 🪤 Trap the glass — extra possessions every single game,"Fordham profiles as a Glass & Paint with a contender score of 57.2/100. Key strengths: elite defense, dominant rebounding. Model projects Sweet 16 exit. [DANGEROUS LOW SEED]"
2026,Fresno State,7,13,0.406,19.0,3.5,4.66,72.8,72.8,74.5,32.0,23.2,19.6,9.6,24.9,12.7,74.2,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.397260273972606,28.904109589041095,33.42465753424658,79.86301369863014,78.21917808219177,40.95890410958904,26.71232876712329,,0.5,0.5,0.5,56.4,58.8,44.4,51.6,44.1,50.1,50.7,55.9,2.9,57.4,0,19.6,50.0,53.0,46.6,Sweet 16,6,False,False,False,False,False,False,False,False,False,Solid Tournament Team,🧊 Shooter's curse — one cold night from three and they can't adjust,,Fresno State profiles as a Solid Tournament Team with a contender score of 53.0/100. Model projects Sweet 16 exit.
