event_id,date,round,region,t1,t2,winner,loser,t1_score,t2_score,model_pick,model_conf,correct,upset,winner_seed,loser_seed,winner_flags,loser_flags,winner_hot,loser_hot,narrative,t1_fg_pct,t1_fg3_pct,t1_ft_pct,t1_rebounds,t1_off_reb,t1_turnovers,t1_assists,t1_steals,t1_blocks,t1_h1,t1_h2,t2_fg_pct,t2_fg3_pct,t2_ft_pct,t2_rebounds,t2_off_reb,t2_turnovers,t2_assists,t2_steals,t2_blocks,t2_h1,t2_h2
401856479,20260319,R64,,Ohio State,Texas Christian,Texas Christian,Ohio State,64,66,Ohio State,0.669,False,False,9.0,8.0,Dangerous,Dangerous,,,,40.0,39.0,64.0,38.0,12.0,7.0,12.0,4.0,4.0,24.0,40.0,42.0,26.0,91.0,32.0,6.0,7.0,18.0,4.0,3.0,39.0,27.0
401856487,20260319,R64,,Georgia,Saint Louis,Saint Louis,Georgia,77,102,Georgia,0.865,False,False,9.0,8.0,Dangerous,Dangerous,,,,58.0,32.0,82.0,47.0,11.0,13.0,27.0,8.0,6.0,32.0,45.0,35.0,26.0,65.0,36.0,15.0,11.0,9.0,9.0,4.0,49.0,53.0
401856529,20260320,R64,,Arizona,Long Island University,Arizona,Long Island University,92,58,Arizona,0.967,True,False,1.0,16.0,,,,,,32.0,30.0,60.0,31.0,12.0,11.0,15.0,6.0,5.0,53.0,39.0,53.0,46.0,67.0,52.0,16.0,10.0,16.0,4.0,10.0,29.0,29.0
401856523,20260320,R64,,Florida,Prairie View,Florida,Prairie View,114,55,Florida,0.99,True,False,1.0,16.0,,,,,,27.0,27.0,88.0,20.0,9.0,7.0,6.0,3.0,3.0,60.0,54.0,64.0,45.0,78.0,54.0,16.0,7.0,29.0,4.0,7.0,21.0,34.0
401856524,20260320,R64,,Iowa State,Tennessee State,Iowa State,Tennessee State,108,74,Iowa State,0.916,True,False,2.0,15.0,,,,,,43.0,24.0,68.0,29.0,11.0,16.0,14.0,8.0,9.0,55.0,53.0,53.0,46.0,78.0,43.0,18.0,11.0,24.0,9.0,5.0,29.0,45.0
401856519,20260320,R64,,Purdue,Queens,Purdue,Queens,104,71,Purdue,0.924,True,False,2.0,15.0,,Dangerous,,,,46.0,28.0,80.0,19.0,8.0,8.0,20.0,10.0,3.0,45.0,59.0,63.0,58.0,67.0,41.0,15.0,12.0,24.0,5.0,6.0,33.0,38.0
401856497,20260320,R64,,Connecticut,Furman,Connecticut,Furman,82,71,Connecticut,0.924,True,False,2.0,15.0,,Dangerous,,,,45.0,38.0,77.0,23.0,4.0,11.0,14.0,3.0,3.0,40.0,42.0,49.0,20.0,72.0,44.0,18.0,9.0,22.0,7.0,1.0,36.0,35.0
401856526,20260320,R64,,Virginia,Wright State,Virginia,Wright State,82,73,Virginia,0.927,True,False,3.0,14.0,,Dangerous,,,,41.0,42.0,91.0,24.0,8.0,7.0,11.0,8.0,4.0,38.0,44.0,52.0,50.0,93.0,39.0,10.0,14.0,12.0,4.0,5.0,43.0,30.0
401856521,20260320,R64,,Alabama,Hofstra,Alabama,Hofstra,90,70,Alabama,0.915,True,False,4.0,13.0,,Dangerous,,,,41.0,46.0,60.0,34.0,13.0,12.0,12.0,6.0,3.0,37.0,53.0,48.0,33.0,74.0,46.0,17.0,10.0,16.0,6.0,6.0,35.0,35.0
401856495,20260320,R64,,Kansas,California Baptist,Kansas,California Baptist,68,60,Kansas,0.941,True,False,4.0,13.0,Dangerous,Dangerous,,,,36.0,24.0,53.0,42.0,12.0,8.0,5.0,6.0,2.0,38.0,30.0,40.0,21.0,86.0,41.0,10.0,8.0,8.0,5.0,4.0,18.0,42.0
401856520,20260320,R64,,Texas Tech,Akron,Texas Tech,Akron,91,71,Texas Tech,0.782,True,False,5.0,12.0,,Dangerous,,,,43.0,26.0,80.0,25.0,11.0,9.0,12.0,5.0,4.0,40.0,51.0,64.0,55.0,63.0,32.0,7.0,10.0,17.0,9.0,5.0,35.0,36.0
401856494,20260320,R64,,St. John's,Northern Iowa,St. John's,Northern Iowa,79,53,St. John's,0.942,True,False,5.0,12.0,,Dangerous,,,,39.0,21.0,50.0,29.0,6.0,6.0,8.0,6.0,2.0,47.0,32.0,47.0,34.0,68.0,45.0,12.0,8.0,13.0,3.0,6.0,28.0,25.0
401856527,20260320,R64,,Tennessee,Miami OH,Tennessee,Miami OH,78,56,Tennessee,0.842,True,False,6.0,11.0,,,,,,35.0,24.0,79.0,25.0,8.0,12.0,8.0,8.0,3.0,51.0,27.0,53.0,45.0,70.0,42.0,13.0,16.0,19.0,5.0,2.0,32.0,24.0
401856525,20260320,R64,,Kentucky,Santa Clara,Kentucky,Santa Clara,89,84,Kentucky,0.623,True,False,7.0,10.0,Dangerous,Dangerous,,,,41.0,36.0,92.0,38.0,12.0,7.0,17.0,8.0,2.0,29.0,44.0,51.0,36.0,71.0,40.0,9.0,11.0,19.0,5.0,11.0,31.0,42.0
